section	title	page	level	chapter_file
28.35.5	Sidechain Parameters	627	3	chapters/28-live-audio-effect-reference.md
28.35.6	Shifter Tips	628	3	chapters/28-live-audio-effect-reference.md
28.36	Spectral Resonator	628	2	chapters/28-live-audio-effect-reference.md
28.36.1	Pitch Mode Section	629	3	chapters/28-live-audio-effect-reference.md
28.36.2	Frequency Section	630	3	chapters/28-live-audio-effect-reference.md
28.36.3	Modulation Section	631	3	chapters/28-live-audio-effect-reference.md
28.36.4	Spectrogram	631	3	chapters/28-live-audio-effect-reference.md
28.36.5	Global Parameters	632	3	chapters/28-live-audio-effect-reference.md
28.36.6	Spectral Resonator Tips	633	3	chapters/28-live-audio-effect-reference.md
28.37	Spectral Time	633	2	chapters/28-live-audio-effect-reference.md
28.37.1	Freezer Section	634	3	chapters/28-live-audio-effect-reference.md
28.37.2	Delay Section	635	3	chapters/28-live-audio-effect-reference.md
28.37.3	Resolution Section	636	3	chapters/28-live-audio-effect-reference.md
28.37.4	Global Controls	636	3	chapters/28-live-audio-effect-reference.md
28.38	Spectrum	637	2	chapters/28-live-audio-effect-reference.md
28.39	Tuner	638	2	chapters/28-live-audio-effect-reference.md
28.39.1	View Switches	639	3	chapters/28-live-audio-effect-reference.md
28.39.2	Classic View	639	3	chapters/28-live-audio-effect-reference.md
28.39.3	Histogram View	641	3	chapters/28-live-audio-effect-reference.md
28.39.4	Note Spellings	642	3	chapters/28-live-audio-effect-reference.md
28.39.5	Reference Slider	643	3	chapters/28-live-audio-effect-reference.md
28.40	Utility	644	2	chapters/28-live-audio-effect-reference.md
28.41	Vinyl Distortion	646	2	chapters/28-live-audio-effect-reference.md
28.42	Vocoder	647	2	chapters/28-live-audio-effect-reference.md
28.42.1	Vocoder Tips	649	3	chapters/28-live-audio-effect-reference.md
29	Live MIDI Effect Reference	651	1	chapters/29-live-midi-effect-reference.md
29.1	Arpeggiator	651	2	chapters/29-live-midi-effect-reference.md
29.2	CC Control	654	2	chapters/29-live-midi-effect-reference.md
29.3	Chord	655	2	chapters/29-live-midi-effect-reference.md
29.4	Note Length	657	2	chapters/29-live-midi-effect-reference.md
29.5	Pitch	658	2	chapters/29-live-midi-effect-reference.md
29.6	Random	659	2	chapters/29-live-midi-effect-reference.md
29.7	Scale	661	2	chapters/29-live-midi-effect-reference.md
29.8	Velocity	662	2	chapters/29-live-midi-effect-reference.md
30	Live Instrument Reference	664	1	chapters/30-live-instrument-reference.md
30.1	Analog	664	2	chapters/30-live-instrument-reference.md
30.1.1	Architecture and Interface	664	3	chapters/30-live-instrument-reference.md
30.1.2	Oscillators	665	3	chapters/30-live-instrument-reference.md
30.1.3	Noise Generator	667	3	chapters/30-live-instrument-reference.md
30.1.4	Filters	667	3	chapters/30-live-instrument-reference.md
30.1.5	Amplifiers	668	3	chapters/30-live-instrument-reference.md
30.1.6	Envelopes	669	3	chapters/30-live-instrument-reference.md
30.1.7	LFOs	670	3	chapters/30-live-instrument-reference.md
30.1.8	Global Parameters	671	3	chapters/30-live-instrument-reference.md
30.1.9	MPE Sources	672	3	chapters/30-live-instrument-reference.md
30.2	Collision	673	2	chapters/30-live-instrument-reference.md
30.2.1	Architecture and Interface	673	3	chapters/30-live-instrument-reference.md
30.2.2	Mallet Section	674	3	chapters/30-live-instrument-reference.md
30.2.3	Noise Section	675	3	chapters/30-live-instrument-reference.md
30.2.4	Resonator Tabs	676	3	chapters/30-live-instrument-reference.md
30.2.5	LFO Tab	679	3	chapters/30-live-instrument-reference.md
30.2.6	MIDI/MPE Tab	680	3	chapters/30-live-instrument-reference.md
30.2.7	Sound Design Tips	681	3	chapters/30-live-instrument-reference.md
30.3	Drift	682	2	chapters/30-live-instrument-reference.md
30.3.1	Subtractive Synthesis	682	3	chapters/30-live-instrument-reference.md
30.3.2	Oscillator Section	683	3	chapters/30-live-instrument-reference.md
30.3.3	Filter Section	685	3	chapters/30-live-instrument-reference.md
30.3.4	Envelopes Section	686	3	chapters/30-live-instrument-reference.md
30.3.5	LFO Section	687	3	chapters/30-live-instrument-reference.md
30.3.6	Mod Section	688	3	chapters/30-live-instrument-reference.md
30.3.7	Global Section	689	3	chapters/30-live-instrument-reference.md
30.4	Drum Sampler	690	2	chapters/30-live-instrument-reference.md
30.4.1	Sample Controls Section	690	3	chapters/30-live-instrument-reference.md
30.4.2	Playback Effects Section	692	3	chapters/30-live-instrument-reference.md
30.4.3	Filter Section	694	3	chapters/30-live-instrument-reference.md
30.4.4	Global Section	694	3	chapters/30-live-instrument-reference.md
30.4.5	Context Menu Options for Drum Sampler	695	3	chapters/30-live-instrument-reference.md
30.5	Electric	696	2	chapters/30-live-instrument-reference.md
30.5.1	Architecture and Interface	696	3	chapters/30-live-instrument-reference.md
30.5.2	Hammer Section	697	3	chapters/30-live-instrument-reference.md
30.5.3	Fork Section	698	3	chapters/30-live-instrument-reference.md
30.5.4	Damper/Pickup Section	699	3	chapters/30-live-instrument-reference.md
30.5.5	Global Section	700	3	chapters/30-live-instrument-reference.md
30.6	External Instrument	701	2	chapters/30-live-instrument-reference.md
30.7	Impulse	703	2	chapters/30-live-instrument-reference.md
30.7.1	Sample Slots	703	3	chapters/30-live-instrument-reference.md
30.7.2	Start, Transpose and Stretch	704	3	chapters/30-live-instrument-reference.md
30.7.3	Filter	704	3	chapters/30-live-instrument-reference.md
30.7.4	Saturator and Envelope	704	3	chapters/30-live-instrument-reference.md
30.7.5	Pan and Volume	704	3	chapters/30-live-instrument-reference.md
30.7.6	Global Controls	705	3	chapters/30-live-instrument-reference.md
30.7.7	Individual Outputs	705	3	chapters/30-live-instrument-reference.md
30.8	Meld	705	2	chapters/30-live-instrument-reference.md
30.8.1	General Overview	705	3	chapters/30-live-instrument-reference.md
30.8.2	Oscillators	706	3	chapters/30-live-instrument-reference.md
30.8.3	Oscillator Macros	707	3	chapters/30-live-instrument-reference.md
30.8.4	Envelopes Tab	709	3	chapters/30-live-instrument-reference.md
30.8.5	LFOs Tab	710	3	chapters/30-live-instrument-reference.md
30.8.6	Matrix Tab	710	3	chapters/30-live-instrument-reference.md
30.8.7	MIDI and MPE Tabs	711	3	chapters/30-live-instrument-reference.md
30.8.8	Settings Tab	711	3	chapters/30-live-instrument-reference.md
30.8.9	Filters	712	3	chapters/30-live-instrument-reference.md
30.8.10	Mix Section	714	3	chapters/30-live-instrument-reference.md
30.8.11	Global Controls	714	3	chapters/30-live-instrument-reference.md
30.9	Operator	715	2	chapters/30-live-instrument-reference.md
30.9.1	General Overview	716	3	chapters/30-live-instrument-reference.md
30.9.2	Oscillator Section	717	3	chapters/30-live-instrument-reference.md
30.9.3	LFO Section	719	3	chapters/30-live-instrument-reference.md
30.9.4	Envelopes	720	3	chapters/30-live-instrument-reference.md
30.9.5	Filter Section	722	3	chapters/30-live-instrument-reference.md
30.9.6	Global Controls	723	3	chapters/30-live-instrument-reference.md
30.9.7	Glide and Spread	724	3	chapters/30-live-instrument-reference.md
30.9.8	Strategies for Saving CPU Power	725	3	chapters/30-live-instrument-reference.md
30.9.9	Finally…	725	3	chapters/30-live-instrument-reference.md
30.9.10	The Complete Parameter List	725	3	chapters/30-live-instrument-reference.md
30.10	Sampler	733	2	chapters/30-live-instrument-reference.md
30.10.1	Getting Started with Sampler	733	3	chapters/30-live-instrument-reference.md
30.10.2	Multisampling	733	3	chapters/30-live-instrument-reference.md
30.10.3	Title Bar Options	734	3	chapters/30-live-instrument-reference.md
30.10.4	Sampler’s Tabs	735	3	chapters/30-live-instrument-reference.md
30.10.5	The Zone Tab	735	3	chapters/30-live-instrument-reference.md
30.10.6	The Sample Tab	741	3	chapters/30-live-instrument-reference.md
30.10.7	The Pitch/Osc Tab	745	3	chapters/30-live-instrument-reference.md
30.10.8	The Filter/Global Tab	747	3	chapters/30-live-instrument-reference.md
30.10.9	The Modulation Tab	749	3	chapters/30-live-instrument-reference.md
30.10.10	The MIDI Tab	750	3	chapters/30-live-instrument-reference.md
30.10.11	Importing Third-Party Multisamples	751	3	chapters/30-live-instrument-reference.md
30.11	Simpler	751	2	chapters/30-live-instrument-reference.md
30.11.1	Playback Modes	752	3	chapters/30-live-instrument-reference.md
30.11.2	Warp Controls	756	3	chapters/30-live-instrument-reference.md
30.11.3	Filter	757	3	chapters/30-live-instrument-reference.md
30.11.4	Envelopes	758	3	chapters/30-live-instrument-reference.md
30.11.5	LFO	759	3	chapters/30-live-instrument-reference.md
30.11.6	Global Parameters	760	3	chapters/30-live-instrument-reference.md
30.11.7	Context Menu Options for Simpler	761	3	chapters/30-live-instrument-reference.md
30.11.8	Strategies for Saving CPU Power	761	3	chapters/30-live-instrument-reference.md
30.12	Tension	762	2	chapters/30-live-instrument-reference.md
30.12.1	Architecture and Interface	762	3	chapters/30-live-instrument-reference.md
30.12.2	String Tab	763	3	chapters/30-live-instrument-reference.md
30.12.3	Filter/Global Tab	769	3	chapters/30-live-instrument-reference.md
30.12.4	Sound Design Tips	773	3	chapters/30-live-instrument-reference.md
30.13	Wavetable	774	2	chapters/30-live-instrument-reference.md
30.13.1	Wavetable Synthesis	774	3	chapters/30-live-instrument-reference.md
30.13.2	Oscillators	774	3	chapters/30-live-instrument-reference.md
30.13.3	Sub Oscillator	776	3	chapters/30-live-instrument-reference.md
30.13.4	Filters	776	3	chapters/30-live-instrument-reference.md
30.13.5	Matrix Tab	778	3	chapters/30-live-instrument-reference.md
30.13.6	Mod Sources Tab	779	3	chapters/30-live-instrument-reference.md
30.13.7	MIDI Tab	781	3	chapters/30-live-instrument-reference.md
30.13.8	Global and Unison Controls	781	3	chapters/30-live-instrument-reference.md
30.13.9	Hi-Quality Mode	783	3	chapters/30-live-instrument-reference.md
31	Max for Live	784	1	chapters/31-max-for-live.md
31.1	Setting Up Max for Live	784	2	chapters/31-max-for-live.md
31.2	Using Max for Live Devices	785	2	chapters/31-max-for-live.md
31.3	Editing Max for Live Devices	785	2	chapters/31-max-for-live.md
31.4	Building Max for Live MIDI Tools	788	2	chapters/31-max-for-live.md
31.5	Max Dependencies	789	2	chapters/31-max-for-live.md
31.6	Learning Max Programming	789	2	chapters/31-max-for-live.md
32	Max for Live Devices	790	1	chapters/32-max-for-live-devices.md
32.1	Max for Live Instruments	791	2	chapters/32-max-for-live-devices.md
32.1.1	DS Clang	791	3	chapters/32-max-for-live-devices.md
32.1.2	DS Clap	792	3	chapters/32-max-for-live-devices.md
32.1.3	DS Cymbal	793	3	chapters/32-max-for-live-devices.md
32.1.4	DS FM	794	3	chapters/32-max-for-live-devices.md
32.1.5	DS HH	795	3	chapters/32-max-for-live-devices.md
32.1.6	DS Kick	796	3	chapters/32-max-for-live-devices.md
32.1.7	DS Snare	797	3	chapters/32-max-for-live-devices.md
32.1.8	DS Tom	798	3	chapters/32-max-for-live-devices.md
32.2	Max for Live Audio Effects	799	2	chapters/32-max-for-live-devices.md
32.2.1	Align Delay	799	3	chapters/32-max-for-live-devices.md
32.2.2	Envelope Follower	800	3	chapters/32-max-for-live-devices.md
32.2.3	LFO	803	3	chapters/32-max-for-live-devices.md
32.2.4	Shaper	806	3	chapters/32-max-for-live-devices.md
32.3	Max for Live MIDI Effects	808	2	chapters/32-max-for-live-devices.md
32.3.1	Envelope MIDI	808	3	chapters/32-max-for-live-devices.md
32.3.2	Expression Control	811	3	chapters/32-max-for-live-devices.md
32.3.3	MIDI Monitor	813	3	chapters/32-max-for-live-devices.md
32.3.4	MPE Control	815	3	chapters/32-max-for-live-devices.md
32.3.5	Note Echo	821	3	chapters/32-max-for-live-devices.md
32.3.6	Shaper MIDI	822	3	chapters/32-max-for-live-devices.md
33	MIDI and Key Remote Control	825	1	chapters/33-midi-and-key-remote-control.md
33.1	MIDI Remote Control	825	2	chapters/33-midi-and-key-remote-control.md
33.1.1	Natively Supported Control Surfaces	826	3	chapters/33-midi-and-key-remote-control.md
33.1.2	Manual Control Surface Setup	827	3	chapters/33-midi-and-key-remote-control.md
33.1.3	Takeover Mode	828	3	chapters/33-midi-and-key-remote-control.md
33.2	The Mapping Browser	829	2	chapters/33-midi-and-key-remote-control.md
33.2.1	Assigning MIDI Remote Control	830	3	chapters/33-midi-and-key-remote-control.md
33.2.2	Mapping to MIDI Notes	830	3	chapters/33-midi-and-key-remote-control.md
33.2.3	Mapping to Absolute MIDI Controllers	830	3	chapters/33-midi-and-key-remote-control.md
33.2.4	Mapping to Relative MIDI Controllers	831	3	chapters/33-midi-and-key-remote-control.md
33.2.5	Computer Keyboard Remote Control	833	3	chapters/33-midi-and-key-remote-control.md
34	Using Push 1	834	1	chapters/34-using-push-1.md
34.1	Setup	834	2	chapters/34-using-push-1.md
34.2	Browsing and Loading Sounds	835	2	chapters/34-using-push-1.md
34.3	Playing and Programming Beats	836	2	chapters/34-using-push-1.md
34.3.1	Loop Selector	836	3	chapters/34-using-push-1.md
34.3.2	16 Velocities Mode	838	3	chapters/34-using-push-1.md
34.3.3	64-Pad Mode	838	3	chapters/34-using-push-1.md
34.3.4	Loading Individual Drums	838	3	chapters/34-using-push-1.md
34.3.5	Step Sequencing Beats	839	3	chapters/34-using-push-1.md
34.3.6	Real-time Recording	841	3	chapters/34-using-push-1.md
34.3.7	Fixed Length Recording	843	3	chapters/34-using-push-1.md
34.4	Additional Recording Options	844	2	chapters/34-using-push-1.md
34.4.1	Recording with Repeat	844	3	chapters/34-using-push-1.md
34.4.2	Quantizing	845	3	chapters/34-using-push-1.md
34.5	Playing Melodies and Harmonies	846	2	chapters/34-using-push-1.md
34.5.1	Playing in Other Keys	848	3	chapters/34-using-push-1.md
34.6	Step Sequencing Melodies and Harmonies	849	2	chapters/34-using-push-1.md
34.6.1	Adjusting the Loop Length	851	3	chapters/34-using-push-1.md
34.7	Melodic Sequencer + 32 Notes	852	2	chapters/34-using-push-1.md
34.7.1	32 Notes	852	3	chapters/34-using-push-1.md
34.7.2	Sequencer	853	3	chapters/34-using-push-1.md
34.8	Navigating in Note Mode	853	2	chapters/34-using-push-1.md
34.9	Controlling Live’s Instruments and Effects	854	2	chapters/34-using-push-1.md
34.10	Mixing with Push 1	855	2	chapters/34-using-push-1.md
34.11	Recording Automation	857	2	chapters/34-using-push-1.md
34.12	Step Sequencing Automation	858	2	chapters/34-using-push-1.md
34.12.1	Note-Specific Parameters	858	3	chapters/34-using-push-1.md
34.12.2	Per-Step Automation	859	3	chapters/34-using-push-1.md
34.13	Controlling Live’s Session View	859	2	chapters/34-using-push-1.md
34.13.1	Session Overview	860	3	chapters/34-using-push-1.md
34.14	Setting User Preferences	861	2	chapters/34-using-push-1.md
34.15	Push 1 Control Reference	863	2	chapters/34-using-push-1.md
35	Using Push 2	874	1	chapters/35-using-push-2.md
35.1	Setup	875	2	chapters/35-using-push-2.md
35.2	Browsing and Loading Sounds	875	2	chapters/35-using-push-2.md
35.3	Playing and Programming Beats	878	2	chapters/35-using-push-2.md
35.3.1	Loop Selector	878	3	chapters/35-using-push-2.md
35.3.2	16 Velocities Mode	880	3	chapters/35-using-push-2.md
35.3.3	64-Pad Mode	880	3	chapters/35-using-push-2.md
35.3.4	Loading Individual Drums	881	3	chapters/35-using-push-2.md
35.3.5	Step Sequencing Beats	884	3	chapters/35-using-push-2.md
35.3.6	Real-time Recording	887	3	chapters/35-using-push-2.md
35.3.7	Fixed Length Recording	889	3	chapters/35-using-push-2.md
35.4	Additional Recording Options	890	2	chapters/35-using-push-2.md
35.4.1	Recording with Repeat	890	3	chapters/35-using-push-2.md
35.4.2	Quantizing	891	3	chapters/35-using-push-2.md
35.4.3	Arrangement Recording	892	3	chapters/35-using-push-2.md
35.5	Playing Melodies and Harmonies	892	2	chapters/35-using-push-2.md
35.5.1	Playing in Other Keys	895	3	chapters/35-using-push-2.md
35.6	Step Sequencing Melodies and Harmonies	896	2	chapters/35-using-push-2.md
35.6.1	Adjusting the Loop Length	898	3	chapters/35-using-push-2.md
35.7	Melodic Sequencer + 32 Notes	899	2	chapters/35-using-push-2.md
35.7.1	32 Notes	900	3	chapters/35-using-push-2.md
35.7.2	Sequencer	900	3	chapters/35-using-push-2.md
35.8	Working with Samples	902	2	chapters/35-using-push-2.md
35.8.1	Classic Playback Mode	903	3	chapters/35-using-push-2.md
35.8.2	One-Shot Mode	904	3	chapters/35-using-push-2.md
35.8.3	Slicing Mode	906	3	chapters/35-using-push-2.md
35.9	Navigating in Note Mode	908	2	chapters/35-using-push-2.md
35.10	Working With Instruments and Effects	909	2	chapters/35-using-push-2.md
35.10.1	Adding, Deleting, and Reordering Devices	911	3	chapters/35-using-push-2.md
35.10.2	Working with Racks	912	3	chapters/35-using-push-2.md
35.11	Track Control And Mixing	914	2	chapters/35-using-push-2.md
35.11.1	Rack and Group Track Mixing	916	3	chapters/35-using-push-2.md
35.12	Recording Automation	917	2	chapters/35-using-push-2.md
35.13	Step Sequencing Automation	918	2	chapters/35-using-push-2.md
35.14	Clip Mode	919	2	chapters/35-using-push-2.md
35.14.1	Using MIDI Tracks in Clip Mode	921	3	chapters/35-using-push-2.md
35.14.2	Real-Time Playing Layouts	921	3	chapters/35-using-push-2.md
35.14.3	Sequencing Layouts	921	3	chapters/35-using-push-2.md
35.14.4	Note-Specific Parameters	923	3	chapters/35-using-push-2.md
35.15	Controlling Live’s Session View	923	2	chapters/35-using-push-2.md
35.15.1	Session Overview	925	3	chapters/35-using-push-2.md
35.16	Setup Menu	926	2	chapters/35-using-push-2.md
35.17	Push 2 Control Reference	927	2	chapters/35-using-push-2.md
36	Synchronizing with Link, Tempo Follower, and MIDI	933	1	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.1	Synchronizing via Link	933	2	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.1.1	Setting up Link	933	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.1.2	Using Link	936	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.1.3	Using Link Audio	936	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.2	Synchronizing via Tempo Follower	937	2	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.2.1	Setting Up Tempo Follower	938	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.3	Synchronizing via MIDI	939	2	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.3.1	Synchronizing External MIDI Devices to Live	939	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.3.2	Synchronizing Live to External MIDI Devices	939	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
36.3.3	Sync Delay	940	3	chapters/36-synchronizing-with-link-tempo-follower-and-midi.md
37	Computer Audio Resources and Strategies	942	1	chapters/37-computer-audio-resources-and-strategies.md
37.1	Managing the CPU Load	942	2	chapters/37-computer-audio-resources-and-strategies.md
37.1.1	The CPU Load Meter	942	3	chapters/37-computer-audio-resources-and-strategies.md
37.1.2	CPU Load from Multichannel Audio	944	3	chapters/37-computer-audio-resources-and-strategies.md
37.1.3	CPU Load from Tracks and Devices	944	3	chapters/37-computer-audio-resources-and-strategies.md
37.1.4	Track Freeze	945	3	chapters/37-computer-audio-resources-and-strategies.md
37.2	Managing the Disk Load	946	2	chapters/37-computer-audio-resources-and-strategies.md
38	Audio Fact Sheet	948	1	chapters/38-audio-fact-sheet.md
38.1	Testing and Methodology	948	2	chapters/38-audio-fact-sheet.md
38.2	Neutral Operations	948	2	chapters/38-audio-fact-sheet.md
38.2.1	Undithered Rendering	949	3	chapters/38-audio-fact-sheet.md
38.2.2	Matching Sample Rate/No Transposition	949	3	chapters/38-audio-fact-sheet.md
38.2.3	Unstretched Beats/Tones/Texture/Re-Pitch Warping	949	3	chapters/38-audio-fact-sheet.md
38.2.4	Summing at Single Mix Points	950	3	chapters/38-audio-fact-sheet.md
38.2.5	Recording External Signals (Bit Depth >/= A/D Converter)	950	3	chapters/38-audio-fact-sheet.md
38.2.6	Recording Internal Sources at 32 Bit	950	3	chapters/38-audio-fact-sheet.md
38.2.7	Freezing Tracks	951	3	chapters/38-audio-fact-sheet.md
38.2.8	Bypassed Effects	951	3	chapters/38-audio-fact-sheet.md
38.2.9	Routing	952	3	chapters/38-audio-fact-sheet.md
38.2.10	Splitting Clips	952	3	chapters/38-audio-fact-sheet.md
38.3	Non-Neutral Operations	952	2	chapters/38-audio-fact-sheet.md
38.3.1	Playback in Complex and Complex Pro Mode	952	3	chapters/38-audio-fact-sheet.md
38.3.2	Sample Rate Conversion/Transposition	953	3	chapters/38-audio-fact-sheet.md
38.3.3	Volume Automation	953	3	chapters/38-audio-fact-sheet.md
38.3.4	Dithering	953	3	chapters/38-audio-fact-sheet.md
38.3.5	Recording External Signals (Bit Depth < A/D Converter)	953	3	chapters/38-audio-fact-sheet.md
38.3.6	Recording Internal Sources Below 32 Bit	954	3	chapters/38-audio-fact-sheet.md
38.3.7	Consolidate	954	3	chapters/38-audio-fact-sheet.md
38.3.8	Clip Fades	954	3	chapters/38-audio-fact-sheet.md
38.3.9	Panning	954	3	chapters/38-audio-fact-sheet.md
38.3.10	Grooves	954	3	chapters/38-audio-fact-sheet.md
38.4	Tips for Achieving Optimal Sound Quality in Live	955	2	chapters/38-audio-fact-sheet.md
38.5	Conclusion	955	2	chapters/38-audio-fact-sheet.md
39	MIDI Fact Sheet	956	1	chapters/39-midi-fact-sheet.md
39.1	Ideal MIDI Behavior	956	2	chapters/39-midi-fact-sheet.md
39.2	MIDI Timing Problems	957	2	chapters/39-midi-fact-sheet.md
39.3	Live’s MIDI Solutions	957	2	chapters/39-midi-fact-sheet.md
39.4	Variables Outside of Live’s Control	958	2	chapters/39-midi-fact-sheet.md
39.5	Tips for Achieving Optimal MIDI Performance	960	2	chapters/39-midi-fact-sheet.md
39.6	Summary and Conclusions	960	2	chapters/39-midi-fact-sheet.md
40	Accessibility and Keyboard Navigation	962	1	chapters/40-accessibility-and-keyboard-navigation.md
40.1	Menu and Keyboard Navigation Settings	962	2	chapters/40-accessibility-and-keyboard-navigation.md
40.1.1	Using Tab for Navigation	962	3	chapters/40-accessibility-and-keyboard-navigation.md
40.1.2	Settings Menu	963	3	chapters/40-accessibility-and-keyboard-navigation.md
40.1.3	Options Menu	964	3	chapters/40-accessibility-and-keyboard-navigation.md
40.1.4	Speak Help Text	964	3	chapters/40-accessibility-and-keyboard-navigation.md
40.2	Audio Setup	964	2	chapters/40-accessibility-and-keyboard-navigation.md
40.3	Connecting MIDI Devices	964	2	chapters/40-accessibility-and-keyboard-navigation.md
40.4	Navigating in Live	965	2	chapters/40-accessibility-and-keyboard-navigation.md
40.4.1	Navigate Menu	965	3	chapters/40-accessibility-and-keyboard-navigation.md
40.5	Editing Automation and Modulation Envelopes	970	2	chapters/40-accessibility-and-keyboard-navigation.md
40.5.1	Navigating Between Breakpoints	970	3	chapters/40-accessibility-and-keyboard-navigation.md
40.5.2	Selecting and Editing Breakpoints	971	3	chapters/40-accessibility-and-keyboard-navigation.md
40.5.3	Switching Between Automation Envelopes in Arrangement View	972	3	chapters/40-accessibility-and-keyboard-navigation.md
41	Live Keyboard Shortcuts	973	1	chapters/41-live-keyboard-shortcuts.md
41.1	Showing and Hiding Views	973	2	chapters/41-live-keyboard-shortcuts.md
41.2	Keyboard Focus and Navigation	974	2	chapters/41-live-keyboard-shortcuts.md
41.3	Working with Sets and the Program	975	2	chapters/41-live-keyboard-shortcuts.md
41.4	Working with Devices and Plug-Ins	976	2	chapters/41-live-keyboard-shortcuts.md
41.5	Editing	976	2	chapters/41-live-keyboard-shortcuts.md
41.6	Adjusting Values	977	2	chapters/41-live-keyboard-shortcuts.md
41.7	Commands for Breakpoint Envelopes	978	2	chapters/41-live-keyboard-shortcuts.md
41.8	Loop Brace and Start/End Markers	979	2	chapters/41-live-keyboard-shortcuts.md
41.9	Zooming, Display and Selections	979	2	chapters/41-live-keyboard-shortcuts.md
41.10	Clip View Editor View Modes	980	2	chapters/41-live-keyboard-shortcuts.md
41.11	Clip View Sample Editor	981	2	chapters/41-live-keyboard-shortcuts.md
41.12	Clip View MIDI Note Editor	981	2	chapters/41-live-keyboard-shortcuts.md
41.13	Grid Snapping and Drawing	984	2	chapters/41-live-keyboard-shortcuts.md
41.14	Global Quantization	984	2	chapters/41-live-keyboard-shortcuts.md
41.15	Session View	985	2	chapters/41-live-keyboard-shortcuts.md
41.16	Arrangement View	986	2	chapters/41-live-keyboard-shortcuts.md
41.17	Comping	988	2	chapters/41-live-keyboard-shortcuts.md
41.18	Bounce to Audio	988	2	chapters/41-live-keyboard-shortcuts.md
41.19	Commands for Tracks	989	2	chapters/41-live-keyboard-shortcuts.md
41.20	Transport	990	2	chapters/41-live-keyboard-shortcuts.md
41.21	Audio Engine	991	2	chapters/41-live-keyboard-shortcuts.md
41.22	Browser	991	2	chapters/41-live-keyboard-shortcuts.md
41.23	Similar Sample Swapping	992	2	chapters/41-live-keyboard-shortcuts.md
41.24	Key/MIDI Map Mode and the Computer MIDI Keyboard	992	2	chapters/41-live-keyboard-shortcuts.md
41.25	Momentary Latching Shortcuts	993	2	chapters/41-live-keyboard-shortcuts.md
41.26	General Keyboard Navigation and Workflow	993	2	chapters/41-live-keyboard-shortcuts.md
41.26.1	Using Tab for Navigation	994	3	chapters/41-live-keyboard-shortcuts.md
41.26.2	Navigating Between Controls in the Settings Menu	994	3	chapters/41-live-keyboard-shortcuts.md
41.27	Editing Automation and Modulation Envelopes with the Keyboard	995	2	chapters/41-live-keyboard-shortcuts.md
41.28	Accessing Menus	995	2	chapters/41-live-keyboard-shortcuts.md
41.29	Using Live’s Context Menu	995	2	chapters/41-live-keyboard-shortcuts.md
42	Credits	996	1	chapters/42-credits.md
